Time (sec),Force X (N),Force Y (N),Force Z (N),Torque X (Nm),Torque Y (Nm),Torque Z (Nm),Forktip Pose X (m),Forktip Pose Y (m),Forktip Pose Z (m),Forktip Pose Roll (rad),Forktip Pose Pitch (rad),Forktip Pose Yaw (rad)
1637705117.3511555,2.5678697738899823,-1.8561234889041729,-0.29434644558038237,0.0012929492835218456,0.0013320478729539754,-0.0002638101091237306,,,,,,
1637705117.3539824,,,,,,,-0.4335817908564509,0.1694475383256881,0.11890653875407975,1.326024586476147,0.0028252979248466425,-1.3919033826270106
1637705117.3611667,2.7467489385400095,-1.8658475635231291,-0.47786672933244567,0.0013447262180477215,0.0014780539394898522,-0.0002386144928446035,,,,,,
1637705117.3639557,,,,,,,-0.43668158350815456,0.1750594842716235,0.12367202595504623,1.3174793428517027,0.010250483847003805,-1.42770226347659
1637705117.3640063,,,,,,,-0.437586370488714,0.1768304796215173,0.12525661419447642,1.315454239823106,0.021872144416708015,-1.4424212606791023
1637705117.371184,2.8134559000864199,-1.9571712910633776,-0.8982548199972129,0.0013406003114735828,0.0015265526657526935,-0.00022155378406367096,,,,,,
1637705117.3739889,,,,,,,-0.43982679337263053,0.180085627692487,0.1280182286637842,1.3092421483605652,0.009607189911081932,-1.4583291112137498
1637705117.38121,2.8906218223670939,-2.0148331690984094,-0.53125428648862,0.0013160463916033584,0.0015645619094383409,-0.0002490090968700724,,,,,,
1637705117.3840592,,,,,,,-0.4418992731084673,0.18326497585891155,0.131697030180569,1.2996197216991119,0.0026903649549078847,-1.475820251536508
1637705117.3912172,2.8173505009826059,-1.8941955103565102,-0.6846245233814479,0.0014059907736609536,0.0015233402837920868,-0.00022381348059094877,,,,,,
1637705117.3939912,,,,,,,-0.4442016328834416,0.18638488933481873,0.13477326555280844,1.2929122068870063,-0.007686803135635695,-1.4923694813000807
1637705117.4012337,2.7082405485087042,-2.0590853602552763,-0.6170071049236068,0.001279166861032293,0.0014562502547683038,-0.0002369197204491469,,,,,,
1637705117.4039516,,,,,,,-0.44655376289046506,0.18939138413362583,0.137901012596925,1.2859506532345215,-0.01965069259347553,-1.5080708358472104
1637705117.4112723,2.5479865430837769,-2.0219970436971479,-0.5621827721499155,0.0013710398839062317,0.0013753070111494482,-0.00024539358242643347,,,,,,
1637705117.414033,,,,,,,-0.45044499422439516,0.194004392418394,0.14270316267250815,1.27597102767049,-0.039064992330252235,-1.5328467859127604
